TEAMNAME,SHORTNAME,STADIUM,CHANTS SLOT,FLAG SLOT,PL.NAME 1,NR 1,PL.NAME 2,NR 2,PL.NAME 3,NR 3,PL.NAME 4,NR 4,PL.NAME 5,NR 5,PL.NAME 6,NR 6,PL.NAME 7,NR 7,PL.NAME 8,NR 8,PL.NAME 9,NR 9,PL.NAME 10,NR 10,PL.NAME 11,NR 11,PL.NAME 12,NR 12,PL.NAME 13,NR 13,PL.NAME 14,NR 14,PL.NAME 15,NR 15,PL.NAME 16,NR 16,PL.NAME 17,NR 17,PL.NAME 18,NR 18,PL.NAME 19,NR 19,PL.NAME 20,NR 20,PL.NAME 21,NR 21,PL.NAME 22,NR 22,PL.NAME 23,NR 23,PL.NAME 24,NR 24,PL.NAME 25,NR 25,PL.NAME 26,NR 26,PL.NAME 27,NR 27,PL.NAME 28,NR 28,PL.NAME 29,NR 29,PL.NAME 30,NR 30,PL.NAME 31,NR 31,PL.NAME 32,NR 32,LONG FK,SHORT FK,FK2,CORNER L,CORNER R,PENALTY,CAPTAIN,CB OVERLAP,GO UP 1,GO UP 2,GO UP 3,F0 PL1 X/Y,F0 PL2 X/Y,F0 PL3 X/Y,F0 PL4 X/Y,F0 PL5 X/Y,F0 PL6 X/Y,F0 PL7 X/Y,F0 PL8 X/Y,F0 PL9 X/Y,F0 PL10 X/Y,F0 PL11 X/Y,F0 ROLE PL1,F0 ROLE PL2,F0 ROLE PL3,F0 ROLE PL4,F0 ROLE PL5,F0 ROLE PL6,F0 ROLE PL7,F0 ROLE PL8,F0 ROLE PL9,F0 ROLE PL10,F0 ROLE PL11,F0 ATTACK PL1,F0 ATTACK PL2,F0 ATTACK PL3,F0 ATTACK PL4,F0 ATTACK PL5,F0 ATTACK PL6,F0 ATTACK PL7,F0 ATTACK PL8,F0 ATTACK PL9,F0 ATTACK PL10,F0 ATTACK PL11,F0 DEFENCE PL1,F0 DEFENCE PL2,F0 DEFENCE PL3,F0 DEFENCE PL4,F0 DEFENCE PL5,F0 DEFENCE PL6,F0 DEFENCE PL7,F0 DEFENCE PL8,F0 DEFENCE PL9,F0 DEFENCE PL10,F0 DEFENCE PL11,FA PL1 X/Y,FA PL2 X/Y,FA PL3 X/Y,FA PL4 X/Y,FA PL5 X/Y,FA PL6 X/Y,FA PL7 X/Y,FA PL8 X/Y,FA PL9 X/Y,FA PL10 X/Y,FA PL11 X/Y,FA ROLE PL1,FA ROLE PL2,FA ROLE PL3,FA ROLE PL4,FA ROLE PL5,FA ROLE PL6,FA ROLE PL7,FA ROLE PL8,FA ROLE PL9,FA ROLE PL10,FA ROLE PL11,FA ATTACK PL1,FA ATTACK PL2,FA ATTACK PL3,FA ATTACK PL4,FA ATTACK PL5,FA ATTACK PL6,FA ATTACK PL7,FA ATTACK PL8,FA ATTACK PL9,FA ATTACK PL10,FA ATTACK PL11,FA DEFENCE PL1,FA DEFENCE PL2,FA DEFENCE PL3,FA DEFENCE PL4,FA DEFENCE PL5,FA DEFENCE PL6,FA DEFENCE PL7,FA DEFENCE PL8,FA DEFENCE PL9,FA DEFENCE PL10,FA DEFENCE PL11,FB PL1 X/Y,FB PL2 X/Y,FB PL3 X/Y,FB PL4 X/Y,FB PL5 X/Y,FB PL6 X/Y,FB PL7 X/Y,FB PL8 X/Y,FB PL9 X/Y,FB PL10 X/Y,FB PL11 X/Y,FB ROLE PL1,FB ROLE PL2,FB ROLE PL3,FB ROLE PL4,FB ROLE PL5,FB ROLE PL6,FB ROLE PL7,FB ROLE PL8,FB ROLE PL9,FB ROLE PL10,FB ROLE PL11,FB ATTACK PL1,FB ATTACK PL2,FB ATTACK PL3,FB ATTACK PL4,FB ATTACK PL5,FB ATTACK PL6,FB ATTACK PL7,FB ATTACK PL8,FB ATTACK PL9,FB ATTACK PL10,FB ATTACK PL11,FB DEFENCE PL1,FB DEFENCE PL2,FB DEFENCE PL3,FB DEFENCE PL4,FB DEFENCE PL5,FB DEFENCE PL6,FB DEFENCE PL7,FB DEFENCE PL8,FB DEFENCE PL9,FB DEFENCE PL10,FB DEFENCE PL11,ORD 1,ORD 2,ORD 3,ORD 4,ORD 5,ORD 6,ORD 7,ORD 8,ORD 9,ORD 10,ORD 11,ORD 12,ORD 13,ORD 14,ORD 15,ORD 16,ORD 17,ORD 18,ORD 19,ORD 20,ORD 21,ORD 22,ORD 23,ORD 24,ORD 25,ORD 26,ORD 27,ORD 28,ORD 29,ORD 30,ORD 31,ORD 32,F0 AD CARD1,F0 AD CARD2,F0 AD CARD3,F0 AD CARD4,F0 AD CARD5,F0 AD CARD6,F0 AD CARD7,F0 AD CARD8,F0 AD CARD9,F0 AD CARD10,F0 AD CARD11,F0 TS PLAYER SUPP,F0 TS SUPP RANGE,F0 TS POS SWITCH,F0 TS ATT STYLE,F0 TS PRESSING,F0 TS DEF LINE,F0 TS COMPACTNESS,F0 TS DEF STRATEGY,FA AD CARD1,FA AD CARD2,FA AD CARD3,FA AD CARD4,FA AD CARD5,FA AD CARD6,FA AD CARD7,FA AD CARD8,FA AD CARD9,FA AD CARD10,FA AD CARD11,FA TS PLAYER SUPP,FA TS SUPP RANGE,FA TS POS SWITCH,FA TS ATT STYLE,FA TS PRESSING,FA TS DEF LINE,FA TS COMPACTNESS,FA TS DEF STRATEGY,FB AD CARD1,FB AD CARD2,FB AD CARD3,FB AD CARD4,FB AD CARD5,FB AD CARD6,FB AD CARD7,FB AD CARD8,FB AD CARD9,FB AD CARD10,FB AD CARD11,FB TS PLAYER SUPP,FB TS SUPP RANGE,FB TS POS SWITCH,FB TS ATT STYLE,FB TS PRESSING,FB TS DEF LINE,FB TS COMPACTNESS,FB TS DEF STRATEGY,TEAMNAME 1,TEAMNAME 2,TEAMNAME 3,TEAMNAME 4,TEAMNAME 5,TEAMNAME 6,TEAMNAME 7,TEAMNAME 8,TEAMNAME 9,TEAMNAME 10,TEAMNAME 11,TEAMNAME 12,TEAMNAME 13,TEAMNAME 14,TEAMNAME 15,TEAMNAME 16,TEAMNAME 17,TEAMNAME 18,TEAMNAME 19,TEAMNAME 20,TACTICAL ASSISTANCE 1,TACTICAL ASSISTANCE 2,TACTICAL ASSISTANCE 3,P.TACTICS 1,P.TACTICS 2,P.TACTICS 3
切克贝罗,CQB,38,16,283,CASTANO,1,OLIVARES,2,HERAS,25,ESPINO,23,INZENGA,3,ARDAVIN,18,AMO,8,AMARO,11,ROBREDO,10,LULLI,7,LIANO,19,HUMET,12,MONTEIRO,13,MECA,6,MANZANO,14,JORDA,4,BOUZON,22,BELSUE,16,BURGOS,15,FLANO,21,PUNAL,24,PINZLON,17,VICTORIA,20,VALERA,5,PAJARES,9,,255,,255,,255,,255,,255,,255,,255,8,8,7,8,8,8,8,255,255,255,255,-,8x65,8x39,11x93,11x11,18x52,23x73,23x31,32x52,38x71,42x43,0,7,1,9,8,12,21,17,26,33,38,0,1,1,17,17,1,0,0,0,40,16,1,0,0,0,0,0,1,1,2,1,1,-,8x65,8x39,11x93,11x11,18x52,23x73,23x31,32x52,38x71,42x43,0,7,1,9,8,12,21,17,26,33,38,0,1,1,17,17,1,0,0,0,40,16,1,0,0,0,0,0,1,1,2,1,1,-,8x65,8x39,11x93,11x11,18x52,23x73,23x31,32x52,38x71,42x43,0,7,1,9,8,12,21,17,26,33,38,0,1,1,17,17,1,0,0,0,40,16,1,0,0,0,0,0,1,1,2,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,11,7,12,8,10,12,12,0,2,2,2,2,2,2,2,2,2,2,2,11,7,12,8,10,12,12,0,2,2,2,2,2,2,2,2,2,2,2,11,7,12,8,10,12,12,0,Chequebero,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,捷基比路,CHEQUEBERO,切克贝罗,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,ЧЕКЕБЕРО,ΤΣΕΚΕΜΠΕΡΟ,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,CHEQUEBERO,1,3,2,2,1,4
纳环诺森,NHZ,9,16,284,BALLEDOR,12,NAVARRETE,2,TERRADELLAS,25,DESCARGA,3,SOLABARRIETA,21,SEGURA,14,CIFUENTES,5,ZABALETA,8,CORREDOIRA,23,GRIMAU,19,GAYARRE,18,CASES,1,OMUS,13,ESLAVA,4,ARAMBARRI,6,ALARZA,22,AZCONA,20,LOPO,17,LAINEZ,7,LAGO,15,MOMPIN,16,MATABUENA,9,MAQUEDA,11,BENGUELER,24,BROCA,10,,255,,255,,255,,255,,255,,255,,255,8,8,6,4,7,9,2,255,255,255,255,-,10x65,10x39,15x93,15x11,21x63,21x41,29x81,29x23,37x67,42x43,0,7,1,9,8,14,10,23,22,33,38,0,0,0,0,0,0,0,16,16,40,0,1,1,1,1,1,1,1,1,1,1,1,-,10x65,10x39,15x93,15x11,21x63,21x41,29x81,29x23,37x67,42x43,0,7,1,9,8,14,10,23,22,33,38,0,0,0,0,0,0,0,16,16,40,0,1,1,1,1,1,1,1,1,1,1,1,-,10x65,10x39,15x93,15x11,21x63,21x41,29x81,29x23,37x67,42x43,0,7,1,9,8,14,10,23,22,33,38,0,0,0,0,0,0,0,16,16,40,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,13,11,12,12,13,12,0,2,2,2,2,2,2,2,2,2,2,2,12,13,11,12,12,13,12,0,2,2,2,2,2,2,2,2,2,2,2,12,13,11,12,12,13,12,0,Nahuanozem,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,拿化路森,NAHUANOZEM,纳环诺森,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,НАВАНОСЕМ,ΝΑΟΥΑΝΟΖΕΜ,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,NAHUANOZEM,1,3,2,3,2,0
邦迪霍瓦,PHV,16,16,285,BRUGUENA,1,FRAILE,2,PUIGCORBE,6,GIL,4,PITARUGA,3,VALBUENA,14,PARADA,5,VAQUERIZA,23,BAHAMONTES,10,NOGUEROL,16,TIELVE,9,CHAURREAU,12,DASA,13,SERRA,21,ZABALEGI,24,SASTRE,22,SAIZAL,25,COTA,8,GARITANO,19,CASTEDO,7,OCHOA,11,ESPARGARO,20,INFANTAS,18,ARMIJO,17,ALBISTEGUI,15,,255,,255,,255,,255,,255,,255,,255,8,8,7,8,7,9,9,255,255,255,255,-,9x65,9x39,14x91,14x13,19x63,19x41,30x83,30x21,32x52,41x52,0,7,1,9,8,14,10,23,22,26,38,0,0,0,0,0,0,0,16,16,0,16,1,1,1,1,1,1,1,1,1,1,1,-,9x65,9x39,14x91,14x13,19x63,19x41,30x83,30x21,32x52,41x52,0,7,1,9,8,14,10,23,22,26,38,0,0,0,0,0,0,0,16,16,0,16,1,1,1,1,1,1,1,1,1,1,1,-,9x65,9x39,14x91,14x13,19x63,19x41,30x83,30x21,32x52,41x52,0,7,1,9,8,14,10,23,22,26,38,0,0,0,0,0,0,0,16,16,0,16,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,11,8,9,9,9,9,0,2,2,2,2,2,2,2,2,2,2,2,10,11,8,9,9,9,9,0,2,2,2,2,2,2,2,2,2,2,2,10,11,8,9,9,9,9,0,Puntihuerva,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,賓迪靴華,PUNTIHUERVA,邦迪霍瓦,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,ПУНТИУЭРВА,ΠΟΥΝΤΙΟΥΕΡΒΑ,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,PUNTIHUERVA,1,3,2,1,0,0
杜莎卡利亚,DZG,9,16,286,AMOR,1,LORENTE,6,ROSADO,19,REMACHA,5,LEJARRETA,3,MOLTO,18,MENDILLIBAR,16,MANCEBO,8,BORDAS,20,VENTA,7,BERENGUER,9,PRADERA,12,BUNUEL,25,FORQUE,2,GIRO,4,PACHON,13,BALLESTEROS,11,NIETO,17,DOLAN,14,TERRA,24,CHUECA,10,TARREGA,23,ZAMBRANO,22,SAURA,15,CUADRADO,21,,255,,255,,255,,255,,255,,255,,255,6,8,7,6,7,8,0,255,255,255,255,-,9x65,9x39,14x91,14x13,17x52,22x35,25x76,32x52,37x31,42x55,0,7,1,9,8,14,19,23,26,33,38,0,0,0,17,17,0,0,16,0,40,0,1,0,0,1,1,1,1,1,2,1,1,-,9x65,9x39,14x91,14x13,17x52,22x35,25x76,32x52,37x31,42x55,0,7,1,9,8,14,19,23,26,33,38,0,0,0,17,17,0,0,16,0,40,0,1,0,0,1,1,1,1,1,2,1,1,-,9x65,9x39,14x91,14x13,17x52,22x35,25x76,32x52,37x31,42x55,0,7,1,9,8,14,19,23,26,33,38,0,0,0,17,17,0,0,16,0,40,0,1,0,0,1,1,1,1,1,2,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,9,8,8,7,11,10,12,0,2,2,2,2,2,2,2,2,2,2,2,9,8,8,7,11,10,12,0,2,2,2,2,2,2,2,2,2,2,2,9,8,8,7,11,10,12,0,Duzaghalia,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,杜薩哈里亞,DUZAGHALIA,杜莎卡利亚,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,ДУСАГАЛЬЯ,ΝΤΟΥΖΑΓΚΑΛΙΑ,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,DUZAGHALIA,1,3,2,1,2,0
瓦胡查马特,WHC,38,16,287,GUIXE,13,CARRASCO,6,GAVALDA,3,OTANO,2,ESCLUSA,4,ULLOA,16,IZNATA,20,ANTUNA,10,ARRIETA,17,AMATRIAIN,9,LOITE,8,RIBERO,1,LANDALUZE,12,MORATA,11,MESTRES,22,MARCPS,14,POLONIO,19,BOUZAS,21,BERGES,24,FUERTES,25,BALENCIAGA,7,PADIAL,5,VALLES,18,NEBRA,23,TOPETE,15,,255,,255,,255,,255,,255,,255,,255,9,10,7,7,6,9,10,255,255,255,255,-,9x65,9x39,14x91,14x13,18x52,24x65,28x39,34x81,34x23,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,1,0,24,24,48,40,1,1,1,1,1,0,1,1,1,1,1,-,9x65,9x39,14x91,14x13,18x52,24x65,28x39,34x81,34x23,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,1,0,24,24,48,40,1,1,1,1,1,0,1,1,1,1,1,-,9x65,9x39,14x91,14x13,18x52,24x65,28x39,34x81,34x23,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,1,0,24,24,48,40,1,1,1,1,1,0,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,11,12,11,10,11,11,11,0,2,2,2,2,2,2,2,2,2,2,2,11,12,11,10,11,11,11,0,2,2,2,2,2,2,2,2,2,2,2,11,12,11,10,11,11,11,0,Wahuchamate,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,禾曉查美迪,WAHUCHAMATE,瓦胡查马特,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,ВОЛЧАМАТЕ,ΓΟΥΑΧΟΥΤΣΑΜΑΤΕ,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,WAHUCHAMATE,1,3,2,2,0,0
奎里纳,QRG,38,16,288,DORON,1,SOROZABAL,23,CERVERA,5,GIBERNAU,13,SALUDES,16,ZAPARAIN,22,SABATE,24,COTELO,6,CAMPANO,11,GARRIDO,8,CASCOS,9,OBREGON,12,ESTEBAN,25,URDANGARIN,3,ISASMENDI,7,HITA,15,ALMAGRO,10,ARGENSO,14,ARAGONESES,21,ROBLES,19,LUCIENTES,18,RANDALL,20,LAVANDERA,17,,255,,255,,255,,255,,255,,255,,255,,255,,255,4,4,9,4,8,9,0,255,255,255,255,-,9x65,9x39,14x91,14x13,18x52,23x67,23x37,33x81,33x23,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,0,0,1,0,0,16,16,16,1,1,1,1,1,0,0,0,1,1,1,-,9x65,9x39,14x91,14x13,18x52,23x67,23x37,33x81,33x23,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,0,0,1,0,0,16,16,16,1,1,1,1,1,0,0,0,1,1,1,-,9x65,9x39,14x91,14x13,18x52,23x67,23x37,33x81,33x23,41x52,0,7,1,9,8,12,21,17,23,22,38,0,0,0,0,0,1,0,0,16,16,16,1,1,1,1,1,0,0,0,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,10,13,10,13,11,13,0,2,2,2,2,2,2,2,2,2,2,2,12,10,13,10,13,11,13,0,2,2,2,2,2,2,2,2,2,2,2,12,10,13,10,13,11,13,0,Quimrigna,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,金列加,QUIMRIGNA,奎里纳,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,КИМРИГНА,ΚΙΜΡΙΝΙΑ,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,QUIMRIGNA,1,3,2,3,2,0
瓦庭坎,HYC,7,16,289,MOYA,1,MONASTERIO,4,MILLAN,5,MARIN,19,PRADA,14,FUENLLANA,20,BILLABONA,3,VALENZUELA,11,VALVERDE,18,PALACIOS,10,BAYARRI,9,BAQUERO,22,TRIAY,2,CHARCOS,7,SOLER,13,SAVALL,17,ZABARETA,6,GURPEGUI,16,GRAVINA,12,CUYAS,21,CUBILLO,24,CAPI,15,CANALEJAS,8,GASTANVIDE,25,OLAZABAL,23,,255,,255,,255,,255,,255,,255,,255,7,7,9,7,6,9,9,255,255,255,255,-,9x65,9x39,13x91,13x13,18x52,24x67,24x37,36x79,36x25,41x52,0,7,1,9,8,12,21,17,30,29,38,0,0,0,0,0,1,40,40,24,48,16,1,1,1,1,1,1,1,1,1,1,2,-,9x65,9x39,13x91,13x13,18x52,24x67,24x37,36x79,36x25,41x52,0,7,1,9,8,12,21,17,30,29,38,0,0,0,0,0,1,40,40,24,48,16,1,1,1,1,1,1,1,1,1,1,2,-,9x65,9x39,13x91,13x13,18x52,24x67,24x37,36x79,36x25,41x52,0,7,1,9,8,12,21,17,30,29,38,0,0,0,0,0,1,40,40,24,48,16,1,1,1,1,1,1,1,1,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,13,9,13,8,12,10,12,0,2,2,2,2,2,2,2,2,2,2,2,13,9,13,8,12,10,12,0,2,2,2,2,2,2,2,2,2,2,2,13,9,13,8,12,10,12,0,Huatyncan,HUATYNCAN,HUATYNCAN,HUATYNCAN,HUATYNCAN,華天簡,HUATYNCAN,瓦庭坎,HUATYNCAN,HUATYNCAN,HUATYNCAN,HUATYNCAN,ВАТИНКАН,ΟΥΑΤΙΝΚΑΝ,HUATYNCAN,HUATYNCAN,HUATYNCAN,HUATYNCAN,HUATYNCAN,HUATYNCAN,1,3,2,1,2,0
昆图利帕,CTP,9,16,290,ERRANDO,1,IVARS,3,ALMODOVAR,4,ARRIZABALAGA,21,ARANAZ,6,REVERTE,8,RUFETE,5,LAMPREAVE,20,LAFUENTE,23,MORA,12,MELINO,9,MANA,22,BORRELL,24,VERDU,13,FREIRE,25,VINES,2,PINATAR,16,BARTUAL,14,BALZOLA,15,PARRA,7,NOVO,17,NAVAS,11,DORADO,19,TURIEL,18,SOUTOLLO,10,,255,,255,,255,,255,,255,,255,,255,1,1,9,6,7,9,1,255,255,255,255,-,9x65,9x39,15x93,15x11,20x63,20x41,33x83,33x21,30x52,42x52,0,7,1,9,8,14,10,23,22,26,38,0,0,0,16,16,0,0,16,16,0,16,1,1,1,1,1,1,1,1,1,2,2,-,9x65,9x39,15x93,15x11,20x63,20x41,33x83,33x21,30x52,42x52,0,7,1,9,8,14,10,23,22,26,38,0,0,0,16,16,0,0,16,16,0,16,1,1,1,1,1,1,1,1,1,2,2,-,9x65,9x39,15x93,15x11,20x63,20x41,33x83,33x21,30x52,42x52,0,7,1,9,8,14,10,23,22,26,38,0,0,0,16,16,0,0,16,16,0,16,1,1,1,1,1,1,1,1,1,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,9,12,12,10,12,10,12,0,2,2,2,2,2,2,2,2,2,2,2,9,12,12,10,12,10,12,0,2,2,2,2,2,2,2,2,2,2,2,9,12,12,10,12,10,12,0,Cunturipa,CUNTURIPA,CUNTURIPA,CUNTURIPA,CUNTURIPA,昆圖列柏,CUNTURIPA,昆图利帕,CUNTURIPA,CUNTURIPA,CUNTURIPA,CUNTURIPA,КУНТУРИПА,ΚΟΥΝΤΟΥΡΙΠΑ,CUNTURIPA,CUNTURIPA,CUNTURIPA,CUNTURIPA,CUNTURIPA,CUNTURIPA,1,3,2,3,2,0
吉马奎拉,GQL,14,16,291,LLEDO,1,SARDA,3,CODINA,4,GOITIA,2,CUARTERO,6,CAMPINA,8,CANPANO,7,GALVAN,11,HORMIGA,18,ESQUIVEL,10,ANDUJAR,9,ARNAU,12,ALCAZAR,24,LOPETEGUI,13,ROIS,14,LIDON,23,MOSO,21,MEJIA,5,MANEN,25,JOSICO,15,BRIT,22,PUGA,19,FALASCA,17,VIVES,20,VIDRE,16,,255,,255,,255,,255,,255,,255,,255,9,9,7,9,9,9,9,255,255,255,255,-,9x65,9x39,14x93,14x11,18x52,23x73,23x31,31x53,36x21,41x59,0,7,1,9,8,12,21,17,26,33,38,0,0,0,16,16,0,0,0,0,0,16,1,1,1,1,1,1,1,1,1,2,2,-,9x65,9x39,14x93,14x11,18x52,23x73,23x31,31x53,36x21,41x59,0,7,1,9,8,12,21,17,26,33,38,0,0,0,16,16,0,0,0,0,0,16,1,1,1,1,1,1,1,1,1,2,2,-,9x65,9x39,14x93,14x11,18x52,23x73,23x31,31x53,36x21,41x59,0,7,1,9,8,12,21,17,26,33,38,0,0,0,16,16,0,0,0,0,0,16,1,1,1,1,1,1,1,1,1,2,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,10,12,9,13,13,12,0,2,2,2,2,2,2,2,2,2,2,2,10,10,12,9,13,13,12,0,2,2,2,2,2,2,2,2,2,2,2,10,10,12,9,13,13,12,0,Gimarquella,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,占馬基拿,GIMARQUELLA,吉马奎拉,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,ГИМАРКЕЙЯ,ΧΙΜΑΡΚΕΛΑ,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,GIMARQUELLA,1,3,2,2,3,0
阿鲁苏坦魁,ARZ,38,16,292,PIQUERAS,12,BARAONA,4,BATINO,15,PAHISSA,2,NOZAL,6,NIMRI,5,TOLDRA,8,DAMAS,20,SESTELO,18,GENE,23,SAMBRELL,9,CORNET,1,COIRA,24,CANABAL,3,GASOL,13,CARNE,22,HOMAR,17,ESPLA,7,URZELAY,11,AROCA,19,AMORRORTU,21,ALBERDI,25,LEZAUN,16,RUBIO,14,LABAKA,10,,255,,255,,255,,255,,255,,255,,255,7,7,10,7,7,9,7,255,255,255,255,-,8x65,8x39,15x89,15x15,19x63,19x41,30x69,30x35,39x39,41x61,0,7,1,9,8,14,10,28,24,33,38,0,0,0,16,16,0,0,68,68,40,16,1,1,1,1,1,1,1,1,1,1,1,-,8x65,8x39,15x89,15x15,19x63,19x41,30x69,30x35,39x39,41x61,0,7,1,9,8,14,10,28,24,33,38,0,0,0,16,16,0,0,68,68,40,16,1,1,1,1,1,1,1,1,1,1,1,-,8x65,8x39,15x89,15x15,19x63,19x41,30x69,30x35,39x39,41x61,0,7,1,9,8,14,10,28,24,33,38,0,0,0,16,16,0,0,68,68,40,16,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,13,13,12,10,10,9,0,2,2,2,2,2,2,2,2,2,2,2,10,13,13,12,10,10,9,0,2,2,2,2,2,2,2,2,2,2,2,10,13,13,12,10,10,9,0,Aruzutanque,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,阿魯蘇坦基,ARUZUTANQUE,阿鲁苏坦魁,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,АРУСУТАНКЕ,ΑΡΟΥΖΟΥΤΑΝΚΕ,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,ARUZUTANQUE,1,3,2,3,0,0
